index	success_ratio (division)	success_rate (division)	mean_second_ratio (division)	second_ratio_SNR (division)	probe_index (division)	mean_time (division)	mean_total_iterations (division)	total_iterations_SNR (division)	order_index (division)	success_ratio (sequential)	success_rate (sequential)	mean_second_ratio (sequential)	second_ratio_SNR (sequential)	probe_index (sequential)	mean_time (sequential)	mean_total_iterations (sequential)	total_iterations_SNR (sequential)	order_index (sequential)
10937	0.98	0.23990178714591429	0.6079502128211647	74.13130586623998	81	9.21999929987743	1647.7448979591836	49.849444525261816	43	1	0.4114701416691698	0.7213335069875342	86.18384184292643	81	12.565010338796014	559.19	25.955591084029507	
11093	0.99	0.23847979967696722	0.5761027637990372	86.24815002747874	81	9.06722930542722	1647.878787878788	42.873665807179954	44	1	0.4540272443588373	0.7064135040609245	88.56481209664626	81	12.031509135047608	523.7	43.89237764422561	
11250	0.91	0.2306486422778967	0.5699992454831947	71.29246276977524	81	8.822635510975546	1705.065934065934	43.022545106884714	26	1	0.5352264650218886	0.7056003051468656	103.33202580882639	81	8.94637533868534	435.54	43.52277480667288	
11406	0.97	0.21463211281417943	0.5397664633558584	80.88837492660969	81	8.466279398910926	1878.680412371134	61.41589255082118	29	1	0.558622080431529	0.6904393952503046	96.56935242800463	81	11.100861202723454	402.59	44.20148184238249	
11562	0.97	0.23779971037466321	0.5069595304663622	76.37460582049084	81	8.365512857942443	1666.0103092783504	59.332377004559724	28	1	0.6007669390744144	0.6948294321772999	117.33098069565493	81	7.987834783846491	377.53	44.63300597222937	
11718	1	0.31413152058503485	0.5927265809753915	84.78250355100351	81	8.851365429972105	1009.85	45.726943856200045	55	1	0.6611701389118625	0.6885506745097193	96.45123518710307	81	9.856666274168393	339.07	42.88975920301339	
11875	0.96	0.25029683640442546	0.5640808273316666	74.87735282530424	81	8.578698580335733	1501.4895833333333	53.440926179596744	27	1	0.7095519888742435	0.6797244752745768	87.22129382394186	81	7.785559986037708	314.6	47.0784881759418	
12031	1	0.253765434965376	0.5423626264319216	84.1429933254483	81	8.483223401833493	1552.66	59.74280832296469	32	1	0.6722802063900402	0.6913338095798589	98.63457094853595	81	8.60076782966042	322.36	37.87268128386705	
12187	0.99	0.25680154454456294	0.5272946848280978	77.33587979798705	81	8.293256869451653	1502.1919191919192	42.847497937329344	31	1	0.7603735867506595	0.6792996010758584	91.8097977371997	81	9.841829174318741	283.09	45.57171857318301	
12343	1	0.34446364255145334	0.6611016256631396	67.96362027189687	81	9.06772522938069	979.47	27.77725660625126	98	1	0.8298658770769827	0.663962531918492	113.47928541926417	81	7.7938008058340476	256.02	46.598019485994165	
12500	0.99	0.2599185850977379	0.5316351603342279	81.82815931365445	81	8.223897887730692	1527.4444444444443	69.35697626755316	22	1	0.6801457960528384	0.6712730556950594	123.74331631568676	81	7.28431423112426	304.32	39.647321449998245	
12656	1	0.2611049911002331	0.5760586810386152	83.71759578450946	81	8.106390654869049	1123.71	38.006320799009515	56	1	0.695873401143819	0.6763556698957514	99.76358492870848	81	7.590580227488582	297.9	38.89035821210842	
12812	1	0.32884806495933055	0.5921079198268433	88.95571246956746	81	8.022724597522977	840.32	51.491558157472674	53	1	0.8000403220321874	0.6869675318588969	95.13565856649595	81	7.312570199669566	257.05	41.56249389381337	
12968	1	0.38125796829153513	0.6714810377042119	74.4026975339254	81	9.254271411425393	849.75	26.310559110845027	99	1	0.90108111712435	0.6846979823647271	100.44883852084634	81	17.514083296362067	236.99	36.32834777472455	
13125	1	0.35493125513984447	0.6121641891714481	95.83142560507102	81	7.947319300820765	753.02	45.515387501297816	52	1	1.0780311270707719	0.6808305475459178	111.99755778866952	81	6.979066273522974	182.95	52.03736646051802	
13437	1	0.2973265879841439	0.5609098889521492	76.69151026888142	81	7.813327990781176	971.08	54.294861736009025	83	1	1.1424745770845124	0.6746017720018866	109.4977413681911	81	8.406442023264121	170.22	42.5385699864761	
13750	1	0.4091381831482541	0.5894587324580585	84.15476394982399	81	7.65340445795452	627.71	45.3264788494644	51	1	0.7967035593528029	0.6597009567378785	89.93851603333934	81	9.464763682509124	244.14	36.431637797152135	
14062	1	0.37382870122190276	0.5637716380266233	86.48529496386931	81	7.348442904290513	738.49	40.45331400057309	84	1	1.0877723510024704	0.6641179611573219	95.56314843398191	81	7.321700047065754	174.03	33.9699072472954	
14375	1	0.47745641777818265	0.5252066954159428	83.89777041386698	81	6.688848083811047	566.62	44.89099387480452	68	1	1.2525740396513436	0.6511730302494508	111.74381052077511	81	7.161419917917396	146.2	61.22641420527151	
14687	1	0.45490234611337066	0.5741274896264315	88.87887910581563	81	7.1222052803266305	586.42	51.196902549798054	85	1	0.8934586319719287	0.6768913167868484	93.02444972785408	81	7.292192000789092	199.53	54.652970529581694	
15000	1	0.5358226941272242	0.5881079242829582	116.14277831478508	81	6.801715372477006	634.56	67.56483279313566	21	1	1.2530433289853433	0.6317610919767358	113.26070260408589	81	8.587385299084737	144.44	52.5887464975158	
15312	1	0.6913951039547037	0.5622971889534781	116.30110033927865	81	6.4436165035510315	375.99	47.82090885560012	86	1	1.2371613580073477	0.6175464692519999	97.53833617303502	81	7.987434626299515	142.98	62.26457090741309	
15625	1	0.5569764644025063	0.535235211251003	83.71056798408036	81	6.548242097999487	447.47	39.96650546163621	69	1	1.2133860751814012	0.6045477917786223	109.49343949124295	81	9.07907084431091	140.8	58.444383996014984	
