index	success_ratio (division)	success_rate (division)	mean_second_ratio (division)	second_ratio_SNR (division)	probe_index (division)	mean_time (division)	mean_total_iterations (division)	total_iterations_SNR (division)	order_index (division)	success_ratio (sequential)	success_rate (sequential)	mean_second_ratio (sequential)	second_ratio_SNR (sequential)	probe_index (sequential)	mean_time (sequential)	mean_total_iterations (sequential)	total_iterations_SNR (sequential)	order_index (sequential)
9375	1	9.102494083351067	0.11882668780763855	46.85748565594839	21	35.10804471978403	110.86	137.0390176753895	46	1	13.942140118535345	0.17654415981139887	26.032359948681535	21	30.08375992756401	102.23	365.7475249831827	
9687	1	9.90550151543628	0.11878459434901395	60.03260945586262	21	36.272205321622934	110.66	156.46590517417053	65	1	14.089666638547605	0.18579222387481512	19.96237354261177	21	32.635115159749176	102.27	491.8685940099823	
9843	1	7.820626119293392	0.11987046465465877	39.96716795373846	21	35.29742118114353	109.59	182.96581490566234	98	1	12.963947262723266	0.24334497656124845	26.885656334852882	21	32.34937075004212	103.14	414.0914338370864	
10000	1	13.285152513530802	0.15373003627274817	29.331129167546074	21	31.922662729976523	102.98	311.38579164096484	2	1	12.920230496943468	0.2203123829828818	26.507763911252997	21	31.01896695056985	102.2	625.0797715198908	
10312	1	8.635727732727561	0.1180231602151811	53.06363396151126	21	35.216079606111286	111.11	137.2651510855229	66	1	9.923785328637432	0.20527168928786532	24.60897021000185	21	30.471260913120638	102.17	615.4435953299342	
10468	1	7.017445369183123	0.11961535697830197	42.89721543067199	21	34.63964562712161	110.77	156.98579039867576	99	1	11.180679785308827	0.17479867862056658	25.885640474629614	21	31.541677611229897	101.93	791.584303058136	
10625	1	8.316215789201305	0.11677126079543614	47.98011911165865	21	35.16298623450691	111.64	169.11736488365685	47	1	8.437750495725135	0.16563801343573326	24.623499641807978	21	31.021291585993776	101.96	841.6377064582523	
10937	1	8.307510820555468	0.11979786985714963	60.55776787738313	21	35.55013351191679	110.67	139.30165796372714	67	1	8.94798536107865	0.1495043764399283	36.3201257852986	21	31.96133125027258	101.91	1062.3626723441635	
11250	1	7.281889213371978	0.1198140105142298	58.35613819842024	21	36.12056421031747	113.37	139.97521975192646	39	1	8.46826095793048	0.1670953662578813	29.506423421944003	21	31.727029228278212	101.86	898.2240294103884	
11562	1	8.01725312876859	0.11804330005693295	68.82635987074254	21	37.559782754201436	110.52	166.72113248658354	68	1	7.280245781084834	0.13496923358811277	40.636453869012556	21	30.2572137584107	101.97	1004.9408743523568	
11875	1	7.9654617578097096	0.11695493329952188	48.3842889096923	21	35.17276375835866	112.22	148.28654556161152	48	1	7.4590683623387415	0.14395033320359654	36.237212261372534	21	30.08868251919922	101.84	1209.8979173533298	
12187	1	8.603778779631194	0.1225112820790213	49.33453844535549	21	37.32034645145022	110.37	171.5406855854844	69	1	7.233377698079216	0.14978107941283653	35.46532690023291	21	30.02175798819532	101.98	929.5715432327225	
12500	1	8.271435424852791	0.11595378682131655	62.792875448476465	21	36.008790967683424	114.56	128.90796860581642	19	1	6.76009112603255	0.1467836330015979	34.76228330593641	21	30.007874651044	101.81	954.9981495406491	
12812	1	7.936570925147065	0.12100810766224457	41.850206548651705	21	38.13381611825451	112.29	137.1222735924939	70	1	6.635700066328295	0.14446447942420795	34.6222019850142	21	30.343029562785222	102.1	667.9488331540002	
13125	1	6.708437873162473	0.11491421577337625	66.09751383432517	21	36.08185995625527	114.8	112.48814420287543	49	1	6.6804283490713114	0.17540077612948426	23.626284059084224	21	29.816200913319907	101.96	830.1738408740548	
13437	1	8.140538252392828	0.12126520722038048	46.95338850186313	21	36.819446806047765	109.54	185.63077039471355	71	1	6.754018641099521	0.18028317226752563	22.944375232894366	21	30.120111505091483	101.83	870.5232145846498	
13750	1	6.713707376370277	0.116791586204157	60.75714996255941	21	35.83371024651991	114.08	172.203435326812	40	1	6.799621941029035	0.1814873918620793	25.553343811369203	21	29.575298859284757	101.75	1003.5686475757512	
14062	1	7.928956549267171	0.1177758296291405	46.53755630873444	21	36.20020676406859	110.94	148.5059945697012	72	1	6.527969083512147	0.2037465669730058	21.587492012762496	21	28.73334012106874	102.05	635.4810749714615	
14375	1	7.330410942846564	0.11771216610664911	63.37330813097717	21	36.94026669968941	113.14	157.5861258342457	50	1	6.567971941625713	0.18324262107569275	25.149456786975403	21	29.65554703597345	101.96	841.6377064582523	
14687	1	8.516726851572491	0.11786865077864324	53.63213683964329	21	37.2210590673541	109.48	217.77623570372668	73	1	6.495531074608794	0.1653869061539038	20.75627142332849	21	29.637492730682542	101.79	1095.672588152862	
15000	1	8.300408380138755	0.1122041892876296	69.6534069052233	21	34.58520052787198	113.07	144.2187483154019	17	1	6.359624019005696	0.14823204212309601	38.960771766143466	21	29.901041678729197	102.13	875.7036548584098	
15312	1	8.184980560652452	0.1120749996885365	56.11446302363794	21	37.629906622896094	111.86	168.25337347305305	74	1	6.28986200039875	0.1423541770477936	37.065716584545214	21	28.82865063301456	102.02	646.6379685769898	
15625	1	7.226321152193436	0.11727498591626466	56.05856043438179	21	35.62193813107671	115.36	143.92035313392267	51	1	6.157218415014626	0.1465680872317373	35.78910252476344	21	29.938294279685437	101.76	1124.6485635724214	
15937	1	8.45809016325913	0.11328283329954733	56.11514003016305	21	34.55195986255643	111.26	155.0412538962741	75	1	6.226339908357014	0.1490049314176414	37.09263800661868	21	30.295025916035634	102.01	856.6159659730776	
16250	1	7.319411812021977	0.11693223565225255	59.9062839289119	21	36.135142738320475	114.29	139.67085480824488	41	1	6.322671202154197	0.1452303284466333	33.30841472554971	21	29.84886141146101	101.71	1181.8448055019119	
16562	1	8.15208530343188	0.11819808630462686	61.83124062157916	21	35.18331950211975	112.69	132.7437188659276	76	1	6.249843753898731	0.15421789579871736	34.89668149084237	21	29.50891691083868	102.23	474.0992584371411	
16875	1	7.205493468229455	0.11772432685763863	58.67078650094206	21	36.193540659878906	114.91	122.55622792072896	52	1	6.243054601743641	0.17491611671330493	24.961425574198582	21	29.26435836373256	102.07	752.1122741972389	
17187	1	8.2841119017364	0.12027040969221407	51.941604729028946	21	35.31204901501658	109.67	229.499806774905	77	1	6.25183647698411	0.18884722502536772	27.38883038476144	21	29.40568015817468	102.2	556.9665591397746	
