index	success_ratio (division)	success_rate (division)	mean_second_ratio (division)	second_ratio_SNR (division)	probe_index (division)	mean_time (division)	order_index (division)	success_ratio (sequential)	success_rate (sequential)	mean_second_ratio (sequential)	second_ratio_SNR (sequential)	probe_index (sequential)	mean_time (sequential)	order_index (sequential)
37	1	5.50636535836815	0.07973209096976228	62.46596247510439	37	125.34697911023002	73	1	5.033725963948847	0.08025633469428387	53.19872813393522	37	131.65296248092062	
38	1	5.485764441294791	0.08621078077256689	66.38654360425771	38	130.36961969484247	147	1	5.159213323146834	0.08123195058719532	50.3229556978598	38	132.41097138133807	
39	1	5.237521604778408	0.07800711682177879	70.44034700621485	39	130.028943628853	18	1	5.055202814740117	0.07971032052579312	47.98472545251036	39	130.60333413620253	
40	1	5.435609766701647	0.0859175672956616	55.974678267250766	40	127.23132993172588	148	1	5.071714036457274	0.07464233894480113	55.57963586323925	40	127.74641221710603	
41	1	5.848363627884384	0.09077370232897967	82.70172194615637	41	128.83008585959539	74	1	4.939052097130199	0.0774293546896658	68.85306755995765	41	132.15122131802815	
42	1	5.533850563906332	0.08123990637870415	75.2005778065408	42	123.37222806206748	149	1	5.090146494431601	0.0793359130091355	68.47099647601819	42	132.60376118307397	
43	1	5.435314324245749	0.088364463583275	67.2578246954346	43	133.4389139590731	37	1	4.995204603556348	0.08049601255564602	53.61737005928887	43	133.20373055942116	
44	1	5.496921723822833	0.08826692482013597	71.09564715471807	44	131.74728526840724	150	1	5.113206389452429	0.08295254928366262	65.4365611422637	44	133.57643497994175	
45	1	5.619177127706948	0.08312021222143776	53.18501991237998	45	129.61527433626927	75	1	4.946381227509506	0.07960356016137085	49.016612478614654	45	130.75910708237564	
46	1	5.631264782097223	0.09096180863691526	78.74873229748772	46	129.4835504450388	151	1	5.084814709325166	0.08300975887208312	57.468326817048876	46	132.84345125912526	
47	1	5.156446589513052	0.08215055701737477	60.28199969952078	47	129.6497192495219	9	1	5.017813236990381	0.07952969505288972	61.24485593238434	47	130.26039929553914	
48	1	5.440459610049687	0.08554166412702963	58.903828087298436	48	128.1920707231431	152	1	4.984448520631321	0.07595786344602203	77.53379574461316	48	131.2819439584607	
49	1	5.548342710048741	0.08284489193853492	72.75317792364075	49	124.94136580435145	76	1	5.054896172421243	0.07993785061785365	53.92846803281224	49	128.62592633928284	
