index	success_ratio (division)	success_rate (division)	mean_second_ratio (division)	second_ratio_SNR (division)	address (division)	mean_time (division)	mean_total_iterations (division)	total_iterations_SNR (division)	mean_total_iterations_failing (division)	order_index (division)	success_ratio (sequential)	success_rate (sequential)	mean_second_ratio (sequential)	second_ratio_SNR (sequential)	address (sequential)	mean_time (sequential)	mean_total_iterations (sequential)	total_iterations_SNR (sequential)	mean_total_iterations_failing (sequential)	order_index (sequential)
63906	0.0085	0.02711589300770452	0.9512329311955329	106.0996441095259	112	96.43518506808546	168.35294117647058	5.101788359351511	130.01462430660615	11	0.012	0.04224058866484347	0.955773717278856	201.328024463927	112	97.88746342421886	120.75	13.775035077528335	132.90485829959513	
63984	0.0025	0.009245639063194932	0.9588404088050314	182.3550984766993	112	102.80418113425927	79.2	5.966958831863132	121.51177944862155	20	0.002	0.007532037521598107	0.9482785804380232	113.4581015728016	112	98.68828667534723	92.25	3.9452268394624426	124.08667334669339	
64062	0.002	0.005528842797998067	0.9504814199581642	101.26995526246557	112	102.1923099909945	108	6.173949065130318	126.27304609218437	10	0.0025	0.009441800740237245	0.9377156508735457	50.878345030656796	112	101.91833307802287	156.6	6.722206460790427	123.34736842105264	
64218	0.003	0.011617610981585447	0.9533507753366851	72.81794269225067	112	98.19239865442792	153	3.375781250855535	122.84754262788366	14	0.0015	0.005569617809112806	0.9056698950766747	27.716098504038726	112	100.96787823480531	96	3.7325557985267475	126.19879819729594	
64375	0.0065	0.021248346919471812	0.9441828786429398	92.32555206487332	112	97.91159757515676	100.38461538461539	7.757505454497941	124.3658782083543	7	0.0055	0.020392946117016378	0.9485972456045929	88.08279967766758	112	101.21855130572636	129.27272727272728	5.336193674255666	125.88989441930619	
64531	0.0095	0.035113735236522496	0.9499713532750017	108.93657598167302	112	97.12005140635898	150.1578947368421	6.47360820542003	128.59010600706713	15	0.0085	0.03043535083903101	0.958618848489491	186.0385681515094	112	100.3419415271152	150.35294117647058	9.88265205919347	130.5244578920827	
64609	0.003	0.011166862707145302	0.904348544973545	128.14018856624756	112	99.76220341435186	54	6.396021490668312	123.0667001003009	18	0.0015	0.005673671949422643	0.9560724764439151	61.3779604381279	112	102.66792366982018	138	2.3337929313864687	123.72759138708062	
64687	0.002	0.008062168997574058	0.9527695612658019	54.50189581713408	112	99.05705489262618	128.25	3.6827457087712556	118.437875751503	13	0.002	0.007720135812629249	0.9360133020344289	32.09022064719471	112	97.98083474564595	108	4.184914994777494	121.72995991983969	
65000	0	0			112				131.3005	2	0	0			112				132.718	
70000	0	0			112				126.3265	1	0	0			112				130.5305	
