index	success_ratio (division)	success_rate (division)	mean_second_ratio (division)	second_ratio_SNR (division)	probe_index (division)	mean_time (division)	order_index (division)
116	0.95775	398.09215038342495	0.3009788566953797	186.0026908744888	116	29.82447794309578	200
117	0.93825	387.9751480880156	0.2925437427835505	193.4392987626046	117	29.435351042082996	195
118	0.96325	409.8064241650611	0.296301583181936	193.2192004440067	118	28.633362987580036	196
119	0.957	395.5321809033107	0.30245559038662484	186.03498371118968	119	30.169579550896906	115
120	0.9745	448.0253781435504	0.29533093894304746	196.2449836237089	120	27.625632435704215	174
121	0.94375	431.51734071007974	0.2976644591611474	188.62984610168084	121	27.50246574917218	173
122	0.985	445.34367193765723	0.29743231810490733	193.83416924031508	122	26.833127825586907	175
123	0.95175	389.5824805567297	0.29977672708169134	187.9550420912515	123	30.234921998128442	116
124	0.93925	375.9255553332437	0.2985405021737199	189.72854502028687	124	30.458759430313417	140
125	0.934	375.68127425936717	0.2991211634546749	188.18923990489878	125	30.10303452333156	117
126	0.92175	357.88124981802446	0.29731036976765207	188.2391969515967	126	30.82323572475928	118
127	0.9845	445.8130030679242	0.29208566108007433	201.40341557127388	127	28.257202061642968	2
128	0.99175	450.0385714933921	0.2928661457020419	199.69407157220138	128	27.177755299580934	24
129	0.97125	447.45692435272883	0.29250536250536235	199.36752866270112	129	26.950111104407974	23
130	0.97975	438.2884494944931	0.29284256187803004	197.28315060959892	130	27.308531951709618	25
131	0.98025	438.7820190016276	0.2925784238714611	198.47947796950362	131	27.155900121142558	22
132	0.9245	369.6373595617963	0.29817018208040375	186.11649121792257	132	30.99530468327476	241
133	0.93175	376.2518171539296	0.29778195152490783	187.4966453549751	133	30.732962639606246	240
134	0.932	369.6982318348573	0.3022889842632329	183.55321522607485	134	30.495739431749588	242
135	0.97975	427.07845209946856	0.30660882878285267	185.82270083659662	135	29.710238830457378	21
136	0.94625	384.3537069570108	0.3008938793483046	187.45070562082307	136	29.25853119151805	205
137	0.94275	388.63868248289543	0.30224520463183935	185.44188563963795	137	30.281831794036734	202
138	0.94075	385.4427008645594	0.30006643635397273	185.3724969947487	138	29.855002207624693	206
139	0.932	381.8185542514622	0.29869009298998545	187.0521878611058	139	30.13258425121826	201
140	0.9415	383.1869842593976	0.30696140909895553	181.91070773186362	140	29.4096987056614	207
141	0.93475	378.33407536328235	0.2981100115895514	189.69418080184153	141	30.40440725085252	203
142	0.93225	375.5362645773399	0.29726915169393014	187.54451693332766	142	31.319522241217502	204
143	0.979	433.68477008949094	0.29445437521280227	193.92379930010466	143	28.00364270780133	5
144	0.97725	420.91548309988883	0.3068346550694978	183.6809298067497	144	29.195640119355968	18
145	0.971	429.0622272792845	0.3031325094404393	188.30218427519696	145	28.123869963311027	15
