index	success_ratio (division)	success_rate (division)	mean_second_ratio (division)	second_ratio_SNR (division)	probe_index (division)	mean_time (division)	mean_total_iterations (division)	total_iterations_SNR (division)	order_index (division)	success_ratio (sequential)	success_rate (sequential)	mean_second_ratio (sequential)	second_ratio_SNR (sequential)	probe_index (sequential)	mean_time (sequential)	mean_total_iterations (sequential)	total_iterations_SNR (sequential)	order_index (sequential)
9375	0.59	0.27029020463716	0.9617330304406212	387.4774020386267	102	1.615276026850577	1077.1186440677966	20.814531550589567	11	0.73	0.2289836888331242	0.951810401323203	216.84927859734975	102	3.659186664798599	822.5479452054794	18.20903654106845	
9453	0.89	0.2920769691730789	0.9055060982821415	192.0213659658356	102	2.1408564545105624	1294.2696629213483	18.968910699266893	31	0.78	0.25128007870865116	0.9602948692159153	349.08956466672475	102	4.170690197029207	780.8717948717949	20.31713048894629	
9531	0.67	0.2626819513583585	0.9369632577082243	152.1677141576642	102	1.8253059252586457	1249.6119402985075	16.9877033396586	13	0.74	0.19445263422881096	0.9333273536739808	143.38203590495561	102	3.9366312678846245	971.7027027027027	17.771878759026347	
9609	0.87	0.31211971620784323	0.9011185460721576	181.84026756804005	102	2.295581448243597	1183.7356321839081	19.201445678633682	19	0.87	0.2535140101458022	0.9329545123991295	170.83271980083074	102	4.264093140093251	806.6206896551724	17.404011805921975	
9687	0.78	0.38101900112448983	0.9409209525263108	180.3533713969406	102	2.173770819582793	961.8589743589744	16.641201955524252	12	0.81	0.2038430710342809	0.936070319746711	148.736463810667	102	3.933626626751227	953.1234567901234	13.364596098134657	
9765	0.71	0.24761556671878915	0.9503060641832449	220.90727873594957	102	1.7185191611560842	1159.8309859154929	19.05144153631581	27	0.8	0.2019125663061931	0.9372286050201589	197.97606921441107	102	3.8557216649045727	912.375	18.843859753706006	
9843	0.88	0.2916608527831891	0.9211852662918377	197.04422363449652	102	1.9828647856516277	1305.6477272727273	19.91694283524237	18	0.81	0.17796389530010245	0.9109571031575192	124.73728323114581	102	4.143368548676096	1044.8395061728395	24.066164872073895	
10000	0.89	0.46574814852031465	0.9040358827398511	144.94674069433682	102	2.467776247170587	971.7415730337078	15.759817884811328	2	0.92	0.1952642891541555	0.8870835139805883	145.85076998496623	102	3.653749625430321	1005.554347826087	20.45348277145456	
10078	0.88	0.21558746358899034	0.9292912827656323	179.66594632415078	102	1.8881425155597924	1027.7727272727273	23.0251999716096	97	0.81	0.19922935135351175	0.9321023676712008	144.99900014918117	102	2.899815129151539	865.283950617284	18.799300246326556	
10156	0.86	0.19622754820295696	0.9210130040534683	168.84320391456023	102	2.061903059732197	1026.6511627906978	21.04633047224049	95	0.89	0.19460613031176338	0.920246637191936	144.5141791072053	102	2.3295739163095424	961.056179775281	19.844736980268078	
10234	0.87	0.1762558278381712	0.9109345139226197	168.50210774033255	102	2.0508670285734323	1193.1724137931035	22.703091826157483	96	0.7	0.15984395576341306	0.9389656918107038	157.66577846819717	102	3.6583850592462253	921.9285714285714	17.111792585489297	
10312	0.91	0.266460525776387	0.919117919700467	164.24027838950025	102	2.1345401180626578	1012.3296703296703	20.77730624380219	76	0.87	0.2009760505849796	0.9271727371551199	167.99654221016976	102	3.2694369732127737	931.080459770115	20.4185029125968	
10390	0.85	0.24329493471394892	0.9236864889009513	176.1462199545082	102	1.9605616351808708	1054.7411764705882	21.56002910852123	78	0.9	0.21737828265359715	0.9143654051123001	132.87121817949543	102	2.9605374754363014	849.3666666666667	19.204191658646018	
10468	0.85	0.2678363236471052	0.9382978695706615	230.060202876296	102	1.8650876530097846	955.0117647058823	18.413097388665975	77	0.9	0.28541437410213394	0.9190483332277982	183.053775692817	102	3.4174115862829226	648.1	19.350625155822428	
10546	0.93	0.23958556334680892	0.9164103366605999	179.19738707028299	102	2.0411786849054727	938.5268817204301	20.724708937764525	99	0.88	0.28711312322308113	0.9246656335619347	160.593385032969	102	3.00858222504006	656.1477272727273	22.556204549199133	
10625	0.83	0.28215975273287053	0.9448733500829986	252.0394710683103	102	1.9235828950728386	870.6626506024096	21.882016069844667	72	0.93	0.23000166442064768	0.9293568975966221	182.7075387904894	102	2.871079062316991	802.5483870967741	17.379209336200447	
10703	0.93	0.25939468993966713	0.891806199184333	175.9189496177736	102	2.3492913492362697	1023.1075268817204	23.887037803807004	75	0.88	0.21626653671013238	0.9065646697272782	140.72362286223606	102	2.910134560529048	792.1477272727273	16.55069561954541	
10781	0.93	0.27017565775425045	0.9315784949165313	172.60205597050984	102	1.9438098081571076	978.4408602150538	21.54094294824991	74	0.91	0.24972105335084388	0.9217341536647415	158.47795948870433	102	2.768565427377617	723.8901098901099	16.97500817095332	
