index	success_ratio (division)	success_rate (division)	mean_second_ratio (division)	second_ratio_SNR (division)	probe_index (division)	mean_time (division)
24	0.99225	488.47427171920924	0.28433694465440484	209.59229549127218	24	118.63145746724618
25	0.99125	483.08295868508503	0.2903783102143757	197.56369769906152	25	117.24783634142499
26	0.99575	484.43201167600495	0.29109130471169115	193.45422456790044	26	116.08289002675433
27	0.9865	471.24858183556574	0.2936644703497211	187.5484639606066	27	116.4201938078117
28	0.979	464.47633732660995	0.29140279196458957	190.70620321471256	28	116.58521425521893
29	0.9895	480.0426920231356	0.29565016001347455	186.8207620876809	29	116.88818926857002
30	0.9925	474.0921195620435	0.28329974811083114	210.11529333277343	30	116.67836773850753
31	0.9945	490.2274911887863	0.2885620915032679	197.9388554406519	31	118.20363036741135
32	0.98225	475.6543425099363	0.28934419275472956	197.32443245125128	32	117.014487276104
33	0.98125	470.8210879865914	0.289656050955414	195.70557790629434	33	119.57640759355091
34	0.99675	486.30253945797836	0.28458322882702103	206.38686896691308	34	119.38277389798093
35	0.9805	462.44001367752946	0.2845954445011047	206.92158094992797	35	120.21241016222588
36	0.97025	448.33362213370503	0.28148673022416887	210.82400867323707	36	118.80179097687451
37	0.995	492.34271011156414	0.28792294807370183	203.97679895059315	37	118.51667517273867
38	0.98925	489.6307661849365	0.28168646280852494	215.68279933454104	38	117.66194910719928
39	0.9955	492.89498440366407	0.2878829733802107	200.71524098639034	39	119.21237723074145
40	0.99325	483.33921337242407	0.30356573538048487	177.75315842193442	40	119.29020645214574
41	0.97525	467.85238843376493	0.2875288387592923	195.66188840515042	41	118.06987265885353
42	0.99675	488.9085089946257	0.2910584399297716	194.69280448982641	42	120.7093906759468
43	0.9985	500.49498126585655	0.2856159238858286	205.82802775476975	43	117.71855234022911
44	0.99025	476.7062618093228	0.29299419338550853	188.78302866498345	44	119.8283478268587
45	0.94875	447.44443789424656	0.2857048748353094	201.55839683632016	45	120.45250828598486
46	0.99375	485.686008577354	0.2995262054507338	183.19330214705118	46	118.88872425314469
47	0.97425	462.69471884501553	0.280754426481909	215.94649587838416	47	116.957761429064
48	0.99525	482.4928189652569	0.2819224650422841	214.2196155756265	48	118.29477518211506
49	0.9965	491.7223853346708	0.28789095166415773	201.96653624848608	49	118.04718325663264
50	0.994	488.2241705346371	0.28676643192488255	203.96865307640078	50	117.02994421607774
51	0.99725	485.76438783208613	0.28395170050973484	213.21950416374426	51	120.78595468593315
52	0.96425	445.2268267343637	0.28388644023852716	204.27695822250035	52	116.2158377321267
53	0.99725	492.4752157434524	0.2904696248015374	197.2284800638642	53	121.26158091979505
54	0.98025	483.60837711823746	0.28250871376349557	209.4346162450305	54	117.4856431116105
55	0.99	474.5072194596221	0.2935353535353534	188.18580454072998	55	118.65625078914137
56	0.98375	464.487647107418	0.28732316814908926	203.81234084744432	56	120.2551162940756
57	0.989	477.2072039469904	0.2950328614762384	189.36389459739712	57	116.86858426085375
58	0.93525	419.92187500003075	0.28356500044551347	204.50692469578695	58	116.216708851243
59	0.99375	481.6080255888285	0.291006289308176	193.7794951030529	59	118.78087126572329
60	0.9845	466.31142687981054	0.2869180633147113	203.07919978387713	60	117.15029143124683
61	0.9815	471.212357622057	0.2848700967906266	206.1719286926417	61	115.69599335758397
62	0.99825	490.546566911119	0.28233992820769677	212.32717386283693	62	118.89524421644127
63	0.99	475.8471521269924	0.29640151515151525	187.96026698823496	63	118.43426649305555
64	0.9965	490.5363164242402	0.2899272453587556	192.4048710134369	64	119.02101490960548
65	0.996	483.37195617625275	0.2890311244979918	196.1781851239565	65	117.28634248909704
66	0.9955	496.0139511708875	0.28753139126067295	199.56750755078855	66	118.95296578744981
67	0.98525	459.74195655720825	0.2866869660830583	200.61185273722324	67	116.73046389320604
68	0.9975	482.76446175997836	0.28335421888053447	212.47871708805826	68	116.63847323386591
69	0.982	463.04373452786655	0.2840928377460962	205.3593209028356	69	116.57739834600946
70	0.99275	477.95577916056897	0.2863594392680263	202.96875812708322	70	119.81168530439432
71	0.96975	452.97428591452746	0.283848930136633	205.88330950583864	71	117.2444615135183
72	0.9925	488.71162321193316	0.2905793450881611	193.8741338030454	72	121.64784885665938
73	0.99575	495.3056021886894	0.2917106033977738	193.14331449420962	73	117.70173471629428
74	0.99525	488.06502629743034	0.29309218789248925	189.70718261998397	74	119.5939975626413
75	0.97375	454.980842911912	0.2825930680359433	210.64792990564968	75	115.24927812098842
76	0.97975	479.8344638440411	0.28904057157438107	196.44578949613856	76	118.65548898395635
77	0.9955	477.65848977392596	0.2858446341871756	206.3945106876169	77	118.9552919779633
78	0.998	487.1560192812529	0.28410988643954554	205.78162582394157	78	119.17334273038263
79	0.98875	465.56798116534674	0.283678887484197	207.96942537001607	79	116.25121256716182
80	0.94025	434.05001788827235	0.2854781529734996	202.20251781023114	80	116.07768363841069
81	0.97925	462.7944894728429	0.2853799676623266	202.32665528023074	81	118.58386091476258
82	0.987	465.0998409613325	0.2875	198.82441218847947	82	116.72518244997471
