index	success_ratio (division)	success_rate (division)	mean_second_ratio (division)	second_ratio_SNR (division)	probe_index (division)	mean_time (division)	mean_total_iterations (division)	total_iterations_SNR (division)	order_index (division)	success_ratio (sequential)	success_rate (sequential)	mean_second_ratio (sequential)	second_ratio_SNR (sequential)	probe_index (sequential)	mean_time (sequential)	mean_total_iterations (sequential)	total_iterations_SNR (sequential)	order_index (sequential)
4062	1	19.68039045888827	0.134031328811644	54.69926111106286	247	50.93977224542387	102.33	685.9625084940835	7	1	20.0871783542227	0.13909689508630854	61.54513083147452	247	57.2016856808568	102.52	449.00413497748747	
4218	1	17.27443901263781	0.16622292885037954	59.81254146777713	247	90.91988027850019	104.46	269.46814386812184	82	1	16.67027856036458	0.1657891823243206	70.23460143514806	247	97.1778943527711	104.27	286.55351659497705	
4375	1	16.040035929639988	0.12855445059884946	65.66999773276154	247	133.11412279407222	101.56	1504.8589440915034	6	1	14.696804914582998	0.10519111868881391	78.14145904644823	247	132.50080372102963	102.56	223.67226923595095	
4687	1	15.56541365081249	0.10729442675849529	71.83422497229522	247	127.80467791223708	101.43	1505.1258786863993	55	1	14.658028202056865	0.10392800880316466	65.14890142901285	247	130.2840910897524	102.01	458.57624115532565	
4843	1	15.00015000150714	0.10480305501138343	64.90666664281315	247	126.80223245107139	101.5	1497.941938127109	83	1	14.796182584901254	0.10492702890506063	72.47501947105128	247	131.3825166563752	101.97	441.46282722231035	
5000	1	15.394088669849216	0.1157865785322106	83.00026923702626	247	129.58011007327642	101.72	1202.2554540177416	3	1	14.863258026153161	0.10577345332301531	83.59398549792397	247	129.58621610582915	102.18	397.76770241022297	
5312	1	15.64431094633098	0.11641908826914837	73.78186990884018	247	134.64084425034443	101.67	762.8096182105536	56	1	15.15840533573835	0.10490057225596912	82.94106815375861	247	131.0424578629146	101.4	1673.1000000000001	
5468	1	15.042796756835822	0.11991753566561672	58.42917833318375	247	132.0127582147336	101.66	1364.0372852570213	84	1	14.786118791717872	0.10962801273845252	83.76152940521517	247	130.92131087258537	101.44	1757.799595081665	
5625	1	15.313232163813906	0.10687673672564274	70.88824721541576	247	130.37460873964434	102.33	275.5066945991729	42	1	14.735570192936542	0.10587424769889892	62.45573900101659	247	131.3173233906415	101.47	1570.5729568783254	
5937	1	15.72994824839007	0.10840095768000549	81.12145165633451	247	130.34896551076488	101.47	1700.1918521228126	57	1	14.83371406532993	0.10795827305174827	73.24488994223715	247	132.19461394632847	103.43	294.792382016841	
6093	1	15.112817180331612	0.10489216911411293	65.02850052499701	247	127.75731947933333	101.88	543.3650512012279	85	1	15.072044372099054	0.11083029302930283	76.03005388257466	247	132.98759967978722	101.65	848.2392722795262	
