index	success_ratio (division)	success_rate (division)	mean_second_ratio (division)	second_ratio_SNR (division)
1710	0.499	957.5897140431225	0.446292585170341	76.4773266825619
1722	0.307	591.522157995881	0.4151465798045606	56.434477337385275
1734	0.591	968.8524589923564	0.43468697123519473	81.37075948134702
1745	0	0		
1757	0	0		
1769	0	0		
1781	0	0		
1792	0	0		
1804	0	0		
1816	0	0		
1828	0	0		
1851	0	0		
1863	0	0		
1875	0	0		
1886	0.153	329.38643702774266	0.4480392156862744	53.515670519144635
1898	0.001	2.0153164046993646	0.25	
1909	0	0		
1921	0	0		
1944	0	0		
1956	0.003	7.027406887002093	0.5	
1968	0.003	6.330449462143195	0.5833333333333334	5.715476066494078
1979	0	0		
1991	0	0		
2003	0.002	4.2689434363424725	0.5	
2015	0	0		
2026	0.034	74.25202009034123	0.3779411764705883	16.155897721010533
2038	0.073	158.11132770701016	0.4431506849315068	27.807443453148167
2050	0.313	614.9312377319918	0.4051118210862621	55.36493070639086
2062	0.081	155.76923077236935	0.38703703703703696	30.018872530307323
2073	0.003	6.465517241684277	0.4666666666666666	11.43095213298803
2085	0	0		
2097	0.004	8.210180623919582	0.6375	6.8977727052058455
2109	0	0		
2120	0.111	214.24435436525363	0.6126126126126128	54.978661861856295
2132	0.393	543.9446366755714	0.5987277353689563	93.03319651764849
2144	0.186	338.859537259838	0.61263440860215	70.72805960090444
2156	0.142	250.2643637645811	0.5809859154929577	49.54642357816012
2167	0	0		
2179	0	0		
2191	0	0		
2203	0	0		
2214	0.399	675.4697816142875	0.43571428571428605	71.01198598994398
2226	0.063	134.81703402832792	0.3531746031746032	23.350519530905263
2238	0.389	639.4870951910814	0.42043701799485894	65.72663683595208
2250	0.145	295.0152594077334	0.3724137931034482	37.1871233548452
2261	0	0		
2273	0	0		
2284	0.298	454.1298384655265	0.5645973154362413	76.14985679314805
2296	0.145	267.9726483079163	0.572758620689655	55.544366454057304
2307	0	0		
2319	0	0		
2331	0	0		
2343	0	0		
2354	0	0		
2366	0.207	396.2480857457481	0.4690821256038649	62.347385835673414
2378	0.055	98.70782483667153	0.38636363636363635	22.80113847819199
2390	0.246	401.17416830236084	0.35711382113821144	44.503599555477116
2401	0.003	6.23570983157729	0.7166666666666668	9.737582493643613
2413	0	0		
2425	0	0		
2437	0	0		
2448	0.176	302.8738599154517	0.5397727272727274	54.88914324540875
2460	0.347	504.9476135145446	0.5484149855907781	87.79125848145603
2472	0.231	396.4304101404668	0.5590909090909089	61.96947807255615
2484	0.135	243.59437025762995	0.5211111111111111	42.998432100372
2495	0	0		
2507	0	0		
2519	0.001	1.7699115044174851	0.8	
2531	0.001	1.8730099269194505	0.25	
2542	0	0		
2554	0.411	680.2383316764698	0.3609489051094894	61.551443947827444
2566	0.159	272.0739219747646	0.4141509433962264	43.76357854347153
2578	0.16	275.00859402547457	0.4525000000000001	51.46991229020853
2589	0	0		
2601	0.006	11.039558417668022	0.6333333333333334	9.406401658278446
2613	0	0		
2625	0.014	24.608894358231044	0.48214285714285715	20.018287891752767
2636	0.197	310.2850842772318	0.48477157360406087	49.94362282845916
2648	0	0		
2671	0	0		
2682	0.643	869.0363562808775	0.42799377916018705	90.63343836175365
2694	0.329	490.38604859338443	0.4284194528875383	64.46365851432259
2706	0.361	551.5660809988406	0.40567867036011135	62.95915346672565
2718	0.176	304.4982698916554	0.4579545454545455	53.14693386782694
2729	0.001	1.814552712814262	0.75	
2741	0	0		
2753	0	0		
2765	0.011	19.0377293181323	0.5227272727272727	12.259041190447604
2776	0.224	378.0590717307006	0.48750000000000016	52.063845016052866
2788	0.157	247.75130188698114	0.4410828025477707	34.89865047675806
2800	0.045	82.41758241726612	0.518888888888889	21.13951494982516
2812	0.386	470.5021940534714	0.46614853195164097	65.63966014673673
2823	0	0		
2835	0.003	5.275189027574859	0.4666666666666666	11.43095213298803
2847	0	0		
2859	0	0		
2870	0.33	483.58733879026164	0.39106060606060633	52.173247063323934
2882	0.215	331.43209496393115	0.3479069767441861	43.226540466792784
2894	0.009	16.301394674854368	0.4166666666666667	14.907119849998558
2906	0.141	246.89196287821235	0.4709219858156028	46.43606614437859
2917	0.001	1.8254837531936656	0.5	
2929	0.002	3.529204164487304	0.5	
2941	0.043	67.86616161605188	0.6372093023255816	34.113766796025196
2953	0.002	3.1852205765643733	0.375	2.1213203435596424
2964	0.104	163.93442622694516	0.4336538461538461	33.458063552197096
2976	0.01	17.461148943914257	0.35	8.133265027035577
2988	0.402	536.8589743581064	0.4449004975124381	67.98150446736656
3000	0.724	911.7239642372045	0.45345303867403314	92.66835685022501
3011	0.025	39.98080921252822	0.452	16.59328672231476
3023	0.098	130.89354881856983	0.43724489795918364	31.55518683148694
3034	0.183	264.60381722769966	0.3781420765027322	40.89179707809718
3046	0.248	358.32972113092114	0.35302419354838716	44.23774210171775
3057	0.012	19.90710019833131	0.5375	23.080036725232763
3069	0.043	68.97658004688317	0.4116279069767442	18.87230619405756
3081	0.006	10.089120564718993	0.375	4.0089186286863665
3093	0.101	137.94045342829708	0.3861386138613861	30.332353726468547
3104	0.578	669.7566628173622	0.43676470588235333	76.64527639795044
3116	0.202	294.5894706131909	0.4351485148514852	40.25706112927216
3128	0.436	536.4833271939428	0.42018348623853236	66.22550438947424
3140	0.022	35.691109669105394	0.45454545454545464	13.93021417095029
3151	0.093	125.47220723329796	0.40949820788530455	26.88551551350305
3163	0.004	6.116207950981061	0.4375	6.062177826491071
3175	0.071	107.31559855024115	0.41478873239436614	25.89776095321177
3187	0.079	104.62190438222207	0.41645569620253164	26.896401185024033
3198	0	0		
3210	0.149	215.06928406783092	0.40738255033557036	40.40320426758355
3222	0.346	471.06875426012	0.39364161849711027	61.126850497833885
3234	0.522	676.5163297236176	0.39731800766283565	73.31838461543867
3245	0.019	29.27129872087174	0.40263157894736845	14.016038560341862
3257	0.138	155.86175739792566	0.383695652173913	32.165145788757044
3269	0.03	46.533271288655676	0.445	18.592900587519825
3281	0.024	35.4348147049097	0.38125000000000003	11.235871351533875
3292	0.296	396.9424701625363	0.39729729729729735	46.70268933110091
3304	0.453	608.7891412356175	0.40033112582781466	63.41328239379429
3316	0.168	260.869565217297	0.4053571428571428	39.11496458318915
3328	0	0		
3339	0.196	250.00000000475166	0.382908163265306	39.655759540865205
3351	0.225	260.9300707474386	0.3908888888888889	44.65364722236825
3363	0.013	19.670146769046642	0.34615384615384615	9.472226608515914
3375	0.124	151.07212475876935	0.394758064516129	34.17102361814781
3386	0.02	30.797659378134618	0.3775	13.49762738811732
3398	0.205	311.64487686875424	0.40146341463414653	48.1376395064187
3409	0.195	237.65996343645662	0.3782051282051282	40.92110136753708
3421	0.075	102.85244103104382	0.3426666666666666	25.70058667092785
3432	0.204	302.40142306620913	0.38210784313725493	39.67579594309188
3444	0.039	60.10171058713454	0.3384615384615385	17.62834533811146
3456	0.143	219.69580580470318	0.379020979020979	35.28153963345335
3468	0.144	198.2378854587045	0.3618055555555555	33.53737957482233
3479	0.376	374.87537387949624	0.35425531914893627	56.17173050376053
3491	0.182	198.1491562330388	0.352014652014652	38.49271545923483
3503	0.41	397.20984304750743	0.3452439024390245	57.20390748707112
3515	0.03	46.81647939907863	0.38	16.373159536292405
3526	0.378	472.38190452513356	0.3620811287477955	54.65604802772722
3538	0.455	585.8117677226816	0.3364468864468866	61.249859425409674
3550	0.25	334.537668933789	0.3444	44.03714583295981
3562	0	0		
3573	0.247	291.51422164729274	0.3508097165991904	44.92654983999223
3585	0.154	207.2399407907052	0.357034632034632	36.077151428504514
3597	0.18	243.44062752912467	0.37027777777777765	39.54982256031173
3609	0.358	397.68940235340705	0.34720670391061476	53.703988836937484
3620	0.18	255.06589202523622	0.34805555555555545	38.96292665817418
3632	0.114	170.45454545097314	0.3517543859649122	28.80119278916655
3644	0.067	102.83960092440637	0.35447761194029853	25.10201910776619
3656	0.298	386.16042502960045	0.3429530201342281	49.31980064092816
3667	0.384	432.8223624900008	0.33884548611111137	55.75721171217795
3679	0.241	281.11512889195217	0.34688796680497924	43.42721691784321
3691	0.302	360.2528927578347	0.3294701986754968	47.80918401286572
3703	0.208	270.83333332947427	0.33966346153846144	42.82698673793783
3714	0.252	342.11240836097426	0.3323412698412699	45.58329313938469
3726	0.206	283.5512732204438	0.34660194174757275	41.455956872396065
3738	0.044	67.59870947837021	0.35113636363636364	16.21152028165833
3750	0.083	117.38085135995968	0.3337349397590361	25.40300340443122
3761	0.385	457.7339198719854	0.3371428571428573	56.5083740053581
3773	0.147	186.38265500081243	0.34149659863945575	34.34948985350053
3784	0.375	462.3351004855532	0.3227111111111112	55.99276726133449
3796	0.604	644.4041395362924	0.3241445916114792	69.73350037954138
3807	0.13	177.01525054788362	0.33782051282051284	32.09387774715183
3819	0.61	660.8884073602787	0.3225683060109291	70.2189460961722
3831	0.42	475.6511891427724	0.3250396825396827	59.58885178658342
3843	0.13	167.0736409210701	0.34653846153846146	33.83188600779842
3854	0.496	578.0212096410067	0.3272849462365594	63.97928585878444
3866	0.034	48.002258929939295	0.3058823529411765	16.969732912396925
3878	0.62	707.8433611032564	0.32145161290322594	71.70831837656743
3890	0.033	49.683830171690786	0.2924242424242424	17.824566236255325
3901	0.244	307.266087394859	0.3099726775956284	46.652201765412904
3913	0.641	722.4977457189856	0.32308892355694246	72.46065484958521
3925	0.471	554.5090652183148	0.3000000000000001	67.79943219364299
3937	0.118	163.866129702862	0.3067796610169491	33.11858807487231
3948	0.347	369.5420660225577	0.3067723342939482	55.319070339129695
3960	0.571	633.7402885594141	0.2988616462346761	73.87908514759812
3972	0.125	171.8685549295093	0.334	32.06787106928158
3984	0.127	173.6633392555256	0.2744094488188976	43.242104701973936
3995	0.182	212.29441269018793	0.31172161172161167	39.589434622137695
4007	0.285	355.4945740382595	0.3146198830409357	49.861306850851676
4019	0.086	116.95906432744094	0.3046511627906977	27.712770118719984
4031	0.134	163.25536062641206	0.27238805970149255	46.46720622458085
4042	0.247	288.78755991214695	0.3099865047233468	46.0046808448734
4054	0.731	757.1206628759178	0.28340173278613784	92.88555766842853
4066	0.5	534.5306820682551	0.3384000000000002	61.281898013687986
4078	0.344	393.1428571428571	0.38590116279069786	55.39691718930974
4089	0.369	370.70524411762426	0.40826558265582696	62.318494358217286
4101	0.256	259.05687108069435	0.35735677083333334	46.892340056964905
4113	0.4	332.2811098140739	0.39087500000000036	63.99514734600582
4125	0.349	303.2409418695175	0.412893982808023	60.735279395965904
4136	0.294	245.40901502423094	0.3760204081632653	50.06127437630535
4148	0.553	459.6841230224771	0.43188667872212216	85.62430790242314
4159	0.493	384.975792597752	0.4217714672075733	79.31061848341517
4171	0.8	597.5500448172718	0.40960416666666644	93.08416527704537
4182	0.485	339.7072214050128	0.39690721649484595	70.15223897086392
4194	0.653	446.8929646894216	0.44464012251148566	89.61091075996144
4206	0.781	513.4442179958562	0.3996798975672215	90.21125780752126
4218	0.617	379.3887966541581	0.34959481361426287	71.51618463834451
4229	0.651	375.97458850828815	0.3402457757296469	73.1909484790911
4241	0.521	264.8299700071756	0.29702495201535506	70.36681557699968
4253	0.727	376.4888658703805	0.31937184777624966	77.01175447638066
4265	0.797	420.9581154606489	0.3069008782936011	82.71311417303134
4276	0.939	529.9695225231488	0.31586794462193823	91.00909698243301
4288	0.895	448.4417276270667	0.3004283054003724	90.84027161786526
4300	0.969	527.0601033415139	0.3011695906432749	93.6788328292499
4312	0.951	481.29966091636186	0.2906940063091484	100.15061330935912
4323	0.979	506.54524758746277	0.2919475655430712	98.30354809452038
4335	1	521.2677231039393	0.3078499999999999	91.99491654440024
